n,power,test,eps,eff
445,1,Public,0.1,3
446,1,Public,0.1,3
447,1,Public,0.1,3
448,1,Public,0.1,3
449,1,Public,0.1,3
450,1,Public,0.1,3
451,1,Public,0.1,3
452,1,Public,0.1,3
453,1,Public,0.1,3
454,1,Public,0.1,3
455,1,Public,0.1,3
456,1,Public,0.1,3
457,1,Public,0.1,3
458,1,Public,0.1,3
459,1,Public,0.1,3
460,1,Public,0.1,3
461,1,Public,0.1,3
462,1,Public,0.1,3
463,1,Public,0.1,3
464,1,Public,0.1,3
465,1,Public,0.1,3
466,1,Public,0.1,3
467,1,Public,0.1,3
468,1,Public,0.1,3
469,1,Public,0.1,3
470,1,Public,0.1,3
471,1,Public,0.1,3
472,1,Public,0.1,3
473,1,Public,0.1,3
474,1,Public,0.1,3
475,1,Public,0.1,3
476,1,Public,0.1,3
477,1,Public,0.1,3
478,1,Public,0.1,3
479,1,Public,0.1,3
480,1,Public,0.1,3
481,1,Public,0.1,3
482,1,Public,0.1,3
483,1,Public,0.1,3
484,1,Public,0.1,3
485,1,Public,0.1,3
486,1,Public,0.1,3
487,1,Public,0.1,3
488,1,Public,0.1,3
489,1,Public,0.1,3
490,1,Public,0.1,3
491,1,Public,0.1,3
492,1,Public,0.1,3
493,1,Public,0.1,3
494,1,Public,0.1,3
495,1,Public,0.1,3
496,1,Public,0.1,3
497,1,Public,0.1,3
498,1,Public,0.1,3
499,1,Public,0.1,3
500,1,Public,0.1,3
