"n","power","test","eps","eff"
157,0.99874010350138,"Public",1,0.4
158,0.998805236472607,"Public",1,0.4
159,0.998867079679817,"Public",1,0.4
160,0.998925794607948,"Public",1,0.4
161,0.998981535098001,"Public",1,0.4
162,0.999034447690897,"Public",1,0.4
163,0.999084671958489,"Public",1,0.4
164,0.999132340819855,"Public",1,0.4
165,0.999177580842816,"Public",1,0.4
166,0.999220512536269,"Public",1,0.4
167,0.999261250624974,"Public",1,0.4
168,0.999299904317732,"Public",1,0.4
169,0.99933657755955,"Public",1,0.4
170,0.999371369275832,"Public",1,0.4
171,0.999404373604435,"Public",1,0.4
172,0.999435680118094,"Public",1,0.4
173,0.999465374037296,"Public",1,0.4
174,0.999493536432964,"Public",1,0.4
175,0.99952024442129,"Public",1,0.4
176,0.999545571348701,"Public",1,0.4
177,0.999569586969996,"Public",1,0.4
178,0.999592357617275,"Public",1,0.4
179,0.999613946361507,"Public",1,0.4
180,0.999634413167952,"Public",1,0.4
181,0.999653815042602,"Public",1,0.4
182,0.999672206174669,"Public",1,0.4
183,0.999689638069373,"Public",1,0.4
184,0.99970615967702,"Public",1,0.4
185,0.999721817515966,"Public",1,0.4
186,0.999736655788756,"Public",1,0.4
187,0.999750716493991,"Public",1,0.4
188,0.999764039532875,"Public",1,0.4
189,0.99977666281013,"Public",1,0.4
190,0.999788622331187,"Public",1,0.4
191,0.999799952294448,"Public",1,0.4
192,0.999810685178802,"Public",1,0.4
193,0.999820851828031,"Public",1,0.4
194,0.999830481530111,"Public",1,0.4
195,0.999839602093856,"Public",1,0.4
196,0.999848239921457,"Public",1,0.4
197,0.999856420076959,"Public",1,0.4
198,0.999864166353083,"Public",1,0.4
199,0.999871501333313,"Public",1,0.4
200,0.999878446451816,"Public",1,0.4
201,0.999885022050208,"Public",1,0.4
202,0.99989124743223,"Public",1,0.4
203,0.999897140914529,"Public",1,0.4
204,0.99990271987656,"Public",1,0.4
205,0.999908000806848,"Public",1,0.4
206,0.999912999347465,"Public",1,0.4
207,0.999917730336674,"Public",1,0.4
208,0.999922207849132,"Public",1,0.4
209,0.999926445233882,"Public",1,0.4
210,0.999930455151159,"Public",1,0.4
211,0.999934249607263,"Public",1,0.4
212,0.99993783998676,"Public",1,0.4
213,0.999941237084958,"Public",1,0.4
214,0.999944451136683,"Public",1,0.4
215,0.999947491845593,"Public",1,0.4
216,0.999950368410389,"Public",1,0.4
217,0.99995308955085,"Public",1,0.4
218,0.999955663532292,"Public",1,0.4
219,0.999958098188512,"Public",1,0.4
220,0.999960400943837,"Public",1,0.4
221,0.99996257883418,"Public",1,0.4
222,0.999964638526987,"Public",1,0.4
223,0.99996658633985,"Public",1,0.4
224,0.999968428258614,"Public",1,0.4
225,0.9999701699547,"Public",1,0.4
